team_canonical,issue,match_method,name_similarity,player_name_current,player_name_fifa,fifa_player_name_raw,club_current,club_fifa,position_current,position_fifa,squad_number_fifa,dob_fifa,height_cm_fifa,club_raw_match,club_norm_match,club_match,position_match
Uzbekistan,left_only,unmatched,,Husniddin Aliqulov,,,Çaykur Rizespor,,Defender,,,,,,,,
Uzbekistan,left_only,unmatched,,Jasurbek Yakhshiboev,,,Ordabasy,,Forward,,,,,,,,
Uzbekistan,left_only,unmatched,,Khojimat Erkinov,,,Al Wahda,,Midfielder,,,,,,,,
Uzbekistan,left_only,unmatched,,Zafarmurod Abdurakhmatov,,,Nasaf,,Defender,,,,,,,,
Algeria,right_only,unmatched,,,Achraf Abada,ABADA Achraf,,USM Alger (ALG),,Defender,3,15/06/1999,185,,,,
Algeria,right_only,unmatched,,,Fares Ghedjemis,GHEDJEMIS Fares,,Frosinone (ITA),,Forward,25,06/09/2002,183,,,,
Algeria,right_only,unmatched,,,Melvin Mastil,MASTIL Melvin,,FC Stade Nyonnais (SUI),,Goalkeeper,1,19/02/2000,194,,,,
Algeria,right_only,unmatched,,,Nabil Bentaleb,BENTALEB Nabil,,Lille OSC (FRA),,Midfielder,19,24/11/1994,189,,,,
Algeria,right_only,unmatched,,,Nadhir Benbouali,BENBOUALI Nadhir,,Györi ETO FC (HUN),,Forward,12,17/04/2000,190,,,,
Algeria,right_only,unmatched,,,Samir Chergui,CHERGUI Samir,,Paris FC (FRA),,Defender,26,06/02/1999,185,,,,
Algeria,right_only,unmatched,,,Yassine Titraoui,TITRAOUI Yassine,,Sporting Charleroi (BEL),,Midfielder,24,26/08/2003,180,,,,
Argentina,right_only,unmatched,,,Giuliano Simeone,SIMEONE Giuliano,,Atlético De Madrid (ESP),,Forward,17,18/12/2002,174,,,,
Bosnia and Herzegovina,right_only,unmatched,,,Mladen Jurkas,JURKAS Mladen,,FK Borac Banja Luka (BIH),,Goalkeeper,12,07/10/2007,193,,,,
Canada,right_only,unmatched,,,Nathan Saliba,SALIBA Nathan,,RSC Anderlecht (BEL),,Midfielder,25,07/02/2004,174,,,,
Cape Verde,right_only,unmatched,,,Pico Lopes,PICO LOPES,,Shamrock Rovers FC (IRL),,Defender,4,17/06/1992,186,,,,
Cape Verde,right_only,unmatched,,,Stopira,STOPIRA,,SCU Torreense (POR),,Defender,2,20/05/1988,178,,,,
Cape Verde,right_only,unmatched,,,Vozinha,VOZINHA,,GD Chaves (POR),,Goalkeeper,1,03/06/1986,189,,,,
DR Congo,right_only,unmatched,,,Aaron Tshibola,TSHIBOLA Aaron,,Kilmarnock FC (SCO),,Midfielder,15,02/01/1995,184,,,,
Egypt,right_only,unmatched,,,ABDELMONEIMMohamed Abdelmoneim Elsayed M Mohamed,MOHAMED ABDELMONEIMMohamed Abdelmoneim Elsayed M,,OGC Nice (FRA),,Defender,6,01/02/1999,184,,,,
Egypt,right_only,unmatched,,,Mostafa Zico,MOSTAFA ZICO,,Pyramids FC (EGY),,Midfielder,11,27/04/1997,179,,,,
Ghana,right_only,unmatched,,,Abdul Mumin,MUMIN Abdul,,Rayo Vallecano (ESP),,Defender,6,06/06/1998,188,,,,
Ghana,right_only,unmatched,,,Augustine Boakye,BOAKYE Augustine,,AS Saint-Etienne (FRA),,Midfielder,20,03/11/2000,178,,,,
Ghana,right_only,unmatched,,,Brandon Thomas-Asante,THOMAS-ASANTE Brandon,,Coventry City FC (ENG),,Forward,10,29/12/1998,182,,,,
Ghana,right_only,unmatched,,,Caleb Yirenkyi,YIRENKYI Caleb,,FC Nordsjælland (DEN),,Midfielder,3,15/01/2006,182,,,,
Ghana,right_only,unmatched,,,Derrick Luckassen,LUCKASSEN Derrick,,Pafos FC (CYP),,Defender,23,03/07/1995,188,,,,
Ghana,right_only,unmatched,,,Jerome Opoku,OPOKU Jerome,,Başakşehir FK (TUR),,Defender,18,14/10/1998,197,,,,
Ghana,right_only,unmatched,,,Jonas Adjetey,ADJETEY Jonas,,VfL Wolfsburg (GER),,Defender,4,13/12/2003,188,,,,
Ghana,right_only,unmatched,,,Kojo Peprah Oppong,OPPONG Kojo Peprah,,OGC Nice (FRA),,Defender,21,04/06/2004,185,,,,
Ghana,right_only,unmatched,,,Kwasi Sibo,SIBO Kwasi,,Real Oviedo (ESP),,Midfielder,8,24/06/1998,183,,,,
Ghana,right_only,unmatched,,,Marvin Senaya,SENAYA Marvin,,AJ Auxerre (FRA),,Defender,26,28/01/2001,181,,,,
Ghana,right_only,unmatched,,,Prince Adu,ADU Prince,,FC Viktoria Plzeň (CZE),,Forward,25,23/09/2003,179,,,,
Iraq,right_only,unmatched,,,Rebin Ghareeb,REBIN GHAREEB,,Port FC (THA),,Defender,2,12/04/1992,193,,,,
Japan,right_only,unmatched,,,Ayumu Seko,SEKO Ayumu,,Le Havre AC (FRA),,Defender,20,07/06/2000,186,,,,
Japan,right_only,unmatched,,,Junnosuke Suzuki,SUZUKI Junnosuke,,FC København (DEN),,Defender,25,12/07/2003,180,,,,
Japan,right_only,unmatched,,,Kaishu Sano,SANO Kaishu,,1. FSV Mainz 05 (GER),,Midfielder,24,30/12/2000,176,,,,
Japan,right_only,unmatched,,,Keisuke Goto,GOTO Keisuke,,Sint-Truiden VV (BEL),,Forward,9,03/06/2005,191,,,,
Japan,right_only,unmatched,,,Kento Shiogai,SHIOGAI Kento,,VfL Wolfsburg (GER),,Forward,26,26/03/2005,180,,,,
Japan,right_only,unmatched,,,Tomoki Hayakawa,HAYAKAWA Tomoki,,Kashima Antlers (JPN),,Goalkeeper,23,03/03/1999,187,,,,
Japan,right_only,unmatched,,,Tsuyoshi Watanabe,WATANABE Tsuyoshi,,Feyenoord Rotterdam (NED),,Defender,16,05/02/1997,184,,,,
Japan,right_only,unmatched,,,Yuito Suzuki,SUZUKI Yuito,,SC Freiburg (GER),,Midfielder,17,25/10/2001,175,,,,
Japan,right_only,unmatched,,,Yuto Nagatomo,NAGATOMO Yuto,,FC Tokyo (JPN),,Defender,5,12/09/1986,170,,,,
Jordan,right_only,unmatched,,,Ali Azaizeh,ALI AZAIZEH,,Al Shabab FC (KSA),,Forward,24,13/04/2004,178,,,,
Jordan,right_only,unmatched,,,Amer Jamous,AMER JAMOUS,,Al Zawra'a SC (IRQ),,Midfielder,6,03/07/2002,177,,,,
Jordan,right_only,unmatched,,,Anas Badawi,ANAS BADAWI,,Al Faisaly SC (JOR),,Defender,26,13/09/1997,174,,,,
Jordan,right_only,unmatched,,,Mohammad Abualnadi,MOHAMMAD ABUALNADI,,Selangor FC (MAS),,Defender,16,08/02/2001,185,,,,
Jordan,right_only,unmatched,,,Mohammad Aldaoud,MOHAMMAD ALDAOUD,,Al Wahdat SC (JOR),,Midfielder,25,12/04/1992,185,,,,
Jordan,right_only,unmatched,,,Nour Baniateyah,NOUR BANIATEYAH,,Al Faisaly SC (JOR),,Goalkeeper,12,25/01/1993,179,,,,
Jordan,right_only,unmatched,,,Odeh Fakhoury,ODEH FAKHOURY,,Pyramids FC (EGY),,Forward,11,22/11/2005,180,,,,
Jordan,right_only,unmatched,,,Saleem Obaid,SALEEM OBAID,,Al Hussein SC (JOR),,Defender,17,17/01/1992,187,,,,
Morocco,right_only,unmatched,,,Ahmed Reda Tagnaouti,TAGNAOUTI Ahmed Reda,,ASFAR (MAR),,Goalkeeper,22,05/04/1996,194,,,,
Morocco,right_only,unmatched,,,Anass Salah Eddine,SALAH EDDINE Anass,,PSV Eindhoven (NED),,Defender,26,18/01/2002,181,,,,
Morocco,right_only,unmatched,,,Ayoube Amaimouni,AMAIMOUNI Ayoube,,Eintracht Frankfurt (GER),,Forward,21,30/11/2004,179,,,,
Morocco,right_only,unmatched,,,Ayyoub Bouaddi,BOUADDI Ayyoub,,Lille OSC (FRA),,Midfielder,6,02/10/2007,185,,,,
Morocco,right_only,unmatched,,,Chemsdine Talbi,TALBI Chemsdine,,Sunderland AFC (ENG),,Midfielder,7,09/05/2005,175,,,,
Morocco,right_only,unmatched,,,Gessime Yassine,YASSINE Gessime,,RC Strasbourg (FRA),,Midfielder,16,22/11/2005,172,,,,
Morocco,right_only,unmatched,,,Issa Diop,DIOP Issa,,Fulham FC (ENG),,Defender,14,09/01/1997,194,,,,
Morocco,right_only,unmatched,,,Munir el Kajoui,EL KAJOUI Munir,,RS Berkane (MAR),,Goalkeeper,12,10/05/1989,190,,,,
Morocco,right_only,unmatched,,,Neil el Aynaoui,EL AYNAOUI Neil,,AS Roma (ITA),,Midfielder,24,02/07/2001,185,,,,
Morocco,right_only,unmatched,,,Redouane Halhal,HALHAL Redouane,,KV Mechelen (BEL),,Defender,25,05/03/2003,189,,,,
Morocco,right_only,unmatched,,,Samir el Mourabet,EL MOURABET Samir,,RC Strasbourg (FRA),,Midfielder,15,06/10/2005,187,,,,
Morocco,right_only,unmatched,,,Youssef Belammari,BELAMMARI Youssef,,Al Ahly FC (EGY),,Defender,19,20/09/1998,175,,,,
Morocco,right_only,unmatched,,,Zakaria el Ouahdi,EL OUAHDI Zakaria,,KRC Genk (BEL),,Defender,13,31/12/2001,171,,,,
Norway,right_only,unmatched,,,Fredrik Aursnes,AURSNES Fredrik,,SL Benfica (POR),,Midfielder,14,10/12/1995,181,,,,
Norway,right_only,unmatched,,,Henrik Falchener,FALCHENER Henrik,,Viking Stavanger (NOR),,Defender,25,08/05/2003,194,,,,
Norway,right_only,unmatched,,,Sander Tangvik,TANGVIK Sander,,Hamburger SV (GER),,Goalkeeper,12,29/11/2002,193,,,,
Norway,right_only,unmatched,,,Sondre Langas,LANGAS Sondre,,Derby County FC (ENG),,Defender,24,02/02/2001,190,,,,
