team_name,city,country,accommodation,training_site,lat,lon,altitude_m,timezone,tournament
Iraq,White Sulphur Springs,United States,The Greenbrier,The Greenbrier Sports Performance Centre,37.7965,-80.2997,572,America/New_York,World Cup 2026
Ivory Coast,Wilmington,United States,DuPont Building,Subaru Park,39.7447,-75.5484,28,America/New_York,World Cup 2026
Japan,Nashville,United States,TBA,Nashville SC Training Center,36.1627,-86.7816,182,America/Chicago,World Cup 2026
Jordan,Portland,United States,The Nines,University of Portland,45.5051,-122.6750,15,America/Los_Angeles,World Cup 2026
Mexico,Mexico City,Mexico,Centro de Alto Rendimiento,,19.4326,-99.1332,2240,America/Mexico_City,World Cup 2026
Morocco,Warren,United States,Hilton Hotels & Resorts,Pingry School,40.7684,-74.4143,138,America/New_York,World Cup 2026
Netherlands,Kansas City,United States,Cascade Hotel,Kansas City Current Training Center,39.0997,-94.5786,277,America/Chicago,World Cup 2026
New Zealand,San Diego,United States,Hyatt Regency,Torero Stadium,32.7157,-117.1611,19,America/Los_Angeles,World Cup 2026
Norway,Greensboro,United States,Wyndham Hotels & Resorts,UNC Greensboro,36.0726,-79.7920,272,America/New_York,World Cup 2026
Panama,New Tecumseth,Canada,Nottawasaga Inn Resort & Conference Centre,Nottawasaga Training Site,44.0780,-79.8133,221,America/Toronto,World Cup 2026
Paraguay,San Jose,United States,Signia by Hilton San Jose,Spartan Stadium,37.3382,-121.8863,25,America/Los_Angeles,World Cup 2026
Portugal,Palm Beach,United States,Four Seasons Hotels and Resorts,Gardens North County District Park,26.7056,-80.0364,2,America/New_York,World Cup 2026
Qatar,Goleta,United States,Courtyard by Marriott,Westmont College,34.4258,-119.8276,6,America/Los_Angeles,World Cup 2026
Saudi Arabia,Austin,United States,Four Seasons Hotels and Resorts,Q2 Stadium,30.2672,-97.7431,149,America/Chicago,World Cup 2026
Scotland,Charlotte,United States,Renaissance Hotels,Charlotte FC Training Center,35.2271,-80.8431,229,America/New_York,World Cup 2026
Senegal,New Brunswick,United States,The Heldrich Hotel and Conference Center,Rutgers University,40.4862,-74.4518,22,America/New_York,World Cup 2026
South Africa,Pachuca,Mexico,Camino Real Hotels,Universidad del Futbol,20.1011,-98.7591,2400,America/Mexico_City,World Cup 2026
South Korea,Guadalajara,Mexico,Westin Hotels & Resorts,Verde Valle,20.6597,-103.3496,1566,America/Mexico_City,World Cup 2026
Spain,Chattanooga,United States,The Read House Hotel,Baylor School,35.0456,-85.3097,206,America/New_York,World Cup 2026
Sweden,Frisco,United States,Westin Hotels & Resorts,Toyota Stadium,33.1584,-96.8236,210,America/Chicago,World Cup 2026
Switzerland,San Diego,United States,Fairmont Hotels and Resorts,San Diego Jewish Academy,32.7157,-117.1611,19,America/Los_Angeles,World Cup 2026
Tunisia,San Pedro,Mexico,InterContinental,CF Monterrey Training Center,25.6572,-100.4027,640,America/Monterrey,World Cup 2026
Turkey,Mesa,United States,Courtyard Mesa and Wrigleyville West,Legacy Park,33.4152,-111.8315,379,America/Phoenix,World Cup 2026
United States,Irvine,United States,Marriott Hotels & Resorts,Great Park,33.6846,-117.8265,17,America/Los_Angeles,World Cup 2026
Uruguay,Playa del Carmen,Mexico,Fairmont Hotels and Resorts,Mayakoba Training Center,20.6296,-87.0739,10,America/Cancun,World Cup 2026
Uzbekistan,Atlanta,United States,JW Marriott Hotels,Atlanta United FC Training Center,33.7490,-84.3880,320,America/New_York,World Cup 2026
